-67	46229	2026	2457	19357	9294	9518	2724	399	333	95	26
-66	28299	976	3548	1418	1784	9912	4977	4525	1056	76	27
-65	46416	1674	908	2172	21236	9032	8768	2347	203	50	26
-64	37146	709	1610	18227	6077	5930	2463	623	1375	117	15
-63	32760	1341	3654	1245	1600	9762	5705	8155	1199	77	22
-62	50564	1669	756	1688	21925	10562	11575	2197	148	26	18
-61	50653	838	2446	23898	8585	11452	2322	487	503	112	10
-60	30947	1002	4692	1781	2106	9542	5515	5199	1008	86	16
-59	54230	2003	1098	1933	24760	11599	10233	2384	155	33	32
-58	37004	943	2224	17867	7079	6088	2035	366	266	117	19
-57	25935	975	3497	1311	1554	7996	5129	4267	1091	93	22
-56	49569	2309	998	1946	22520	10152	9387	2051	154	34	18
-55	44483	1234	2350	21304	8493	7890	2242	443	353	148	26
-54	28484	886	3601	1373	1803	9134	5303	4959	1271	101	53
-53	46270	1639	915	1610	20686	9657	9164	2325	209	48	17
-52	35949	762	1685	17900	6569	5883	2122	491	423	102	12
-51	29721	933	4113	1297	1522	9447	5841	5246	1210	88	24
-50	54805	2484	1151	2166	25137	9791	10878	2905	229	44	20
-49	41467	767	1633	20419	7878	7340	2477	441	344	113	55
-48	25577	736	3233	1215	1458	8667	4523	4525	1136	63	21
-47	50639	2116	1098	2102	23556	9433	9882	2161	227	37	27
-46	35982	880	1895	18487	6234	6125	1703	332	222	77	27
-45	29402	1120	3731	1422	1612	9122	6022	4810	1389	153	21
-44	52686	1823	1226	1616	24366	11768	9452	2241	118	40	36
-43	35276	937	1565	16768	6664	6148	2191	448	456	79	20
-42	27759	651	3255	1262	1399	9670	4994	5122	1297	89	20
-41	49144	2234	1010	1700	22228	8917	9903	2922	162	44	24
-40	36920	947	1578	17695	6805	6676	2332	453	345	77	12
-39	32277	721	3459	1246	1677	11588	6586	6041	863	69	27
-38	54663	1813	793	1741	26230	12422	9989	1508	116	27	24
-37	52222	1058	2983	28114	9451	8026	1832	391	283	72	12
-36	26870	882	4484	1594	1592	7565	5219	4687	778	56	13
-35	48241	1823	1113	1908	20022	10711	9929	2510	185	27	13
-34	35320	1785	1779	15325	7359	6207	1938	458	359	101	9
-33	29362	875	2960	1410	1460	10403	5581	5230	1387	51	5
-32	42637	1433	887	1456	18597	9435	8175	2552	78	7	17
-31	33354	756	1870	16740	6393	5398	1690	320	93	76	18
-30	22064	869	3103	1638	1112	8640	4739	1344	527	83	9
-29	41437	1907	1088	1150	23340	9860	3001	902	131	36	22
-28	27364	1114	1205	16109	5970	1416	761	405	300	75	9
-27	22419	421	4910	940	395	4835	4782	4929	1108	92	7
-26	48654	6246	577	656	16088	10710	12269	1920	150	15	23
-25	26234	633	622	9597	6347	6508	1806	367	268	74	12
-24	20573	213	1956	1206	1725	7497	3296	3923	685	62	10
-23	35495	964	1057	1772	17074	6083	6919	1455	134	26	11
-22	25772	1130	1723	12410	4241	4513	1093	378	205	40	39
-21	21104	813	2546	802	1029	6379	5010	3507	734	201	83
-20	32294	1353	676	1083	14334	8037	5436	1022	228	83	42
-19	26908	555	1038	11831	5307	3526	996	1922	845	775	113
-18	69425	940	3916	1698	1773	3151	26031	16456	13673	1620	167
-17	174974	4227	2542	3240	9254	74342	42612	34572	3889	279	17
-16	63677	892	1356	4255	29654	13840	11984	1551	136	8	1
-15	14573	518	925	6072	3617	2958	398	67	15	1	2
-14	6038	458	2493	1304	1308	319	87	61	6	2	0
-13	5876	2404	1480	1371	332	162	78	38	10	1	0
-12	2224	845	800	200	109	112	92	52	13	1	0
-11	1342	748	136	93	118	134	75	28	10	0	0
-10	679	245	40	61	123	92	55	50	8	1	4
-9	396	29	26	62	98	67	81	19	12	1	1
-8	407	25	25	95	73	90	63	25	6	4	1
-7	294	19	24	26	76	65	43	37	3	1	0
-6	324	18	19	71	63	71	50	18	9	1	4
-5	130	3	12	22	32	28	18	10	5	0	0
-4	219	4	15	31	49	57	37	18	5	0	3
-3	261	15	13	38	61	65	48	9	2	9	1
